"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000152583",997.439773207048,4.56334706485785,0.185619897828356,2.22231970361846e-136,3.99884207469106e-132,"SPARCL1","8404"
"ENSG00000165995",495.092906698546,3.28035231080284,0.133330866928814,7.83975707160771e-135,7.05342943732546e-131,"CACNB2","783"
"ENSG00000120129",3409.02937530956,2.93799351420563,0.122027770825204,3.66731992964103e-130,2.19965849379869e-126,"DUSP1","1843"
"ENSG00000101347",12703.3870621821,3.75351791758583,0.157054428106304,9.58233785978437e-130,4.310614686224e-126,"SAMHD1","25939"
"ENSG00000189221",2341.76725275591,3.34218643468028,0.143093947290701,1.0993707187249e-123,3.95641534254717e-120,"MAOA","4128"
"ENSG00000211445",12285.6151498691,3.71695196968093,0.167889677019587,4.61813770360041e-112,1.38497949730976e-108,"GPX3","2878"
"ENSG00000157214",3009.26322295794,1.96828903663856,0.0901843315141423,5.76907556535194e-107,1.48298208175633e-103,"STEAP2","261729"
"ENSG00000162614",5393.10168349223,2.0280282817593,0.094467007412509,1.32374646946565e-103,2.97743674644561e-100,"NEXN","91624"
"ENSG00000125148",3656.252782247,2.20324675136253,0.106042355318007,2.9022102795028e-97,5.8024857521526e-94,"MT2A","4502"
"ENSG00000154734",30315.1354711078,2.34504274729491,0.116193843902198,3.25945584922793e-91,5.86506485510074e-88,"ADAMTS1","9510"
"ENSG00000139132",1223.46614081102,2.2172483417786,0.113232605436269,7.57804468008775e-87,1.23963032703181e-83,"FGD4","121512"
"ENSG00000162493",1099.62586594636,1.8821253850273,0.0959904191944795,8.7677149546766e-87,1.31471885745376e-83,"PDPN","10630"
"ENSG00000134243",5510.95825597916,2.18261331816275,0.112591685663437,1.45114988168952e-85,2.00861469008625e-82,"SORT1","6272"
"ENSG00000179094",776.596665468835,3.1746227026897,0.165326523361847,2.12109133842454e-84,2.72620839597222e-81,"PER1","5187"
"ENSG00000162692",508.170232439755,-3.67384363741498,0.192026910279248,5.64321511380796e-84,6.76960085052403e-81,"VCAM1","7412"
"ENSG00000163884",561.107166129071,4.43364288829491,0.237481066593272,2.22558439607485e-80,2.50294785143568e-77,"KLF15","28999"
"ENSG00000178695",2649.85014895882,-2.51194114497858,0.135441104948222,6.66707120285734e-79,7.05689877789499e-76,"KCTD12","115207"
"ENSG00000198624",2057.19173059348,2.90050614534518,0.163134733428714,3.57763499216435e-73,3.57644244716696e-70,"CCDC69","26112"
"ENSG00000107562",25136.3075719089,-1.89975982357265,0.106126875133663,4.78614978256028e-73,4.53273574670472e-70,"CXCL12","6387"
"ENSG00000148848",1365.17398590702,-1.8040854099328,0.100830665562576,6.81455165826271e-73,6.13105212693896e-70,"ADAM12","8038"
"ENSG00000146250",313.689977800113,-2.7392772224157,0.155320120104748,7.7225813837882e-71,6.61714901999452e-68,"PRSS35","167681"
"ENSG00000106976",884.745882993046,-1.74541254514289,0.0999707259064075,1.93141688250278e-69,1.57972342653432e-66,"DNM1","1759"
"ENSG00000154930",670.046703530433,1.88658222329991,0.109012516628796,2.47529910495702e-68,1.93654487367811e-65,"ACSS1","84532"
"ENSG00000163394",1216.6020649876,-2.17369001681722,0.125970405325618,3.53702881628026e-68,2.65188735500612e-65,"CCKAR","886"
"ENSG00000253368",1040.17649034906,1.97323555153156,0.11493910482503,1.27107995609564e-67,9.14872509199395e-65,"TRNP1","388610"
"ENSG00000163661",8565.70116426611,2.24463978292893,0.131836047587763,6.38229171152789e-67,4.41703680989357e-64,"PTX3","5806"
"ENSG00000162616",1467.63582703992,1.50998103075904,0.0881861161316499,7.74650966598224e-67,5.16261833072905e-64,"DNAJB4","11080"
"ENSG00000148175",11193.718773887,1.44368322691258,0.0846082532394467,4.70696799443133e-66,3.02489936042133e-63,"STOM","2040"
"ENSG00000124766",1281.46865801595,-2.39484604894756,0.141990656383344,8.87957189118668e-66,5.50962126241425e-63,"SOX4","6659"
"ENSG00000197381",1969.04835631005,2.30998385728632,0.136774381550524,1.54343476699904e-65,9.25752173246022e-63,"ADARB1","104"
"ENSG00000172403",8014.7816508389,1.73205254566073,0.103794587409695,5.54827219046118e-64,3.22050354177931e-61,"SYNPO2","171024"
"ENSG00000116285",3232.63543712134,2.40780999305823,0.145655799242581,2.26079022772837e-63,1.27127060492951e-60,"ERRFI1","54206"
"ENSG00000163083",418.921476555884,3.42472524528145,0.210836287278435,2.54300836382292e-61,1.38663310601908e-58,"INHBB","3625"
"ENSG00000166741",7432.9363516342,2.17140250761098,0.135653862976431,1.69561364847968e-59,8.9737858796304e-57,"NNMT","4837"
"ENSG00000070404",2128.11402480981,1.80269783540202,0.113973522754147,1.03360256157106e-57,5.31389842654562e-55,"FSTL3","10272"
"ENSG00000105989",333.214688163837,-3.01760661897427,0.192196753999296,6.86840772114376e-57,3.43305912595169e-54,"WNT2","7472"
"ENSG00000122035",943.340574231144,2.27175305348523,0.145881740252499,3.15423035185241e-56,1.5339789446279e-53,"RASL11A","387496"
"ENSG00000119139",5029.85142077092,1.91272868846696,0.123125685202939,4.86326325646083e-56,2.30288313254622e-53,"TJP2","9414"
"ENSG00000136478",3701.52859767166,1.45539997751684,0.0935140184884135,8.2588226132479e-56,3.81049369494315e-53,"TEX2","55852"
"ENSG00000196569",17178.4260430908,2.01328089002133,0.133921583595691,7.36168827142446e-53,3.3116554689003e-50,"LAMA2","3908"
"ENSG00000108821",100990.694351515,-1.29801511839884,0.0857472349578738,1.2723058689195e-52,5.58387117203355e-50,"COL1A1","1277"
"ENSG00000221866",847.493946021912,2.72196017186199,0.183999098256668,8.98292592804136e-52,3.84854212259943e-49,"PLXNA4","91584"
"ENSG00000100242",2236.2383212374,1.84424681151397,0.123778362876554,1.20262431972007e-51,5.03256325791697e-49,"SUN2","25777"
"ENSG00000145685",2018.16368824202,-1.23130817117769,0.0822560172632518,1.31905100046057e-51,5.39431902324717e-49,"LHFPL2","10184"
"ENSG00000134686",2737.98198594824,1.37632256535018,0.0922045406003414,1.40673056687565e-51,5.62504662674676e-49,"PHC2","1912"
"ENSG00000172986",756.366829107728,-1.55825760359701,0.104658741108581,2.06907799538447e-51,8.093693358467e-49,"GXYLT2","727936"
"ENSG00000102804",5397.33684521952,1.19257772966079,0.0801097944014421,3.64946587074479e-51,1.39720189102514e-48,"TSC22D1","8848"
"ENSG00000060718",363.762294004358,2.40632929827914,0.162859209768713,6.35458115498598e-51,2.38217361047537e-48,"COL11A1","1301"
"ENSG00000099337",530.060485021926,2.69506435667951,0.183095358332526,7.90012449151074e-51,2.90111918571927e-48,"KCNK6","9424"
"ENSG00000126803",449.17684817333,2.43557611861503,0.165643662249483,1.50551445319384e-50,5.41804541415398e-48,"HSPA2","3306"
"ENSG00000157150",167.615505683076,2.91982382815418,0.198117453039623,2.12411217173831e-50,7.494367532992e-48,"TIMP4","7079"
"ENSG00000133142",3055.97384805426,1.5257521053192,0.104166943203076,7.12697282172767e-50,2.46620671065707e-47,"TCEAL4","79921"
"ENSG00000138316",799.568584106461,-2.4851265664398,0.171336212298063,9.33975154235886e-50,3.17093375949444e-47,"ADAMTS14","140766"
"ENSG00000103196",3082.06913512982,2.60720343376483,0.182762274997473,1.41599302183697e-48,4.71840341387674e-46,"CRISPLD2","83716"
"ENSG00000131389",740.410803126942,-2.10418808473041,0.146498388676982,1.78032715475468e-48,5.82458305866467e-46,"SLC6A6","6533"
"ENSG00000152268",1597.83892249109,1.89590812246263,0.132115051297343,3.03455530560328e-48,9.75067645875455e-46,NA,NA
"ENSG00000168309",159.526919764023,4.79159277605019,0.332415220028537,3.830448903506e-48,1.20921223806468e-45,"FAM107A","11170"
"ENSG00000163171",1357.57154103081,1.49237737381681,0.103789689331809,4.10709355116008e-48,1.27419036826852e-45,"CDC42EP3","10602"
"ENSG00000124440",197.043622803841,2.50665574920745,0.174864404712896,9.45967604492499e-48,2.88504086020983e-45,"HIF3A","64344"
"ENSG00000141401",627.527233035192,2.30428125847689,0.162296120736766,1.8690046383835e-47,5.6051449105121e-45,"IMPA2","3613"
"ENSG00000103742",370.82982255279,-2.17718122053213,0.153077494823722,2.77238681913427e-47,8.17808662680361e-45,"IGDCC4","57722"
"ENSG00000112837",2754.96812806571,-1.81669943692475,0.128395858629728,5.27116643945698e-47,1.52982853083208e-44,"TBX18","9096"
"ENSG00000164647",1920.71012986285,1.55286478094776,0.110007185382119,1.44747026539941e-46,4.13425078660269e-44,"STEAP1","26872"
"ENSG00000068383",1247.24185187194,1.36966802135614,0.0974192241869826,5.79810557986286e-46,1.63017362193832e-43,"INPP5A","3632"
"ENSG00000156675",1631.87785808313,1.53305287945699,0.110067758346648,2.24189260089199e-45,6.20624853237701e-43,"RAB11FIP1","80223"
"ENSG00000136999",435.712716722131,-2.52575311365569,0.184828282349307,2.50867532052421e-44,6.8395611693201e-42,"CCN3","4856"
"ENSG00000206538",12754.9476812811,1.35415180926116,0.0985139925122854,3.30689942856456e-44,8.88124601755084e-42,"VGLL3","389136"
"ENSG00000227051",4615.74006753287,-1.14076039353964,0.0830797024461554,5.62374294621069e-44,1.48814162608993e-41,"C14orf132","56967"
"ENSG00000134363",2906.3410530882,-1.78865744235888,0.131964587697488,1.9187604802093e-43,5.00379363491104e-41,"FST","10468"
"ENSG00000196517",229.640742740425,-2.20658972804792,0.162220587932173,1.98051624210801e-43,5.09105846578451e-41,"SLC6A9","6536"
"ENSG00000124762",8020.52881680403,-0.999990657271266,0.0733341295209608,3.10765142414834e-43,7.87592672198947e-41,"CDKN1A","1026"
"ENSG00000149218",2027.18573134681,1.90637409494135,0.141651376728385,6.2574834217228e-43,1.56384939847889e-40,"ENDOD1","23052"
"ENSG00000109906",385.071028862516,7.27319181989988,0.543825012897923,9.1419875272321e-43,2.25343730910979e-40,"ZBTB16","7704"
"ENSG00000185432",3885.6492404017,2.22695128455563,0.166688333570132,1.25130303175722e-42,3.04269550722155e-40,"METTL7A","25840"
"ENSG00000163378",1805.28931002148,1.24975579997098,0.0928330703101694,1.99603448466846e-42,4.78888593561657e-40,"EOGT","285203"
"ENSG00000167641",231.671616289766,2.86599013793525,0.215241999371831,2.81917041181961e-42,6.67475689345818e-40,"PPP1R14A","94274"
"ENSG00000196975",4908.8181516426,1.17391177191038,0.0875497991516244,4.24429861609086e-42,9.91842977895311e-40,"ANXA4","307"
"ENSG00000106484",677.213238740759,-1.84399683585085,0.138288465652102,5.72607857726448e-42,1.32096228101663e-39,"MEST","4232"
"ENSG00000126016",386.415162103212,-2.34843536930385,0.177012302625291,7.52368014187629e-42,1.71368481611294e-39,"AMOT","154796"
"ENSG00000151726",1460.17800298032,1.58351030644471,0.119120677975138,9.49654889897486e-42,2.13601126110192e-39,"ACSL1","2180"
"ENSG00000150907",678.868174958036,2.20354815379764,0.166674171186769,1.3474738420195e-41,2.99338818682702e-39,"FOXO1","2308"
"ENSG00000130513",451.004765299293,-1.84857968181328,0.139505818246394,1.92847879219207e-41,4.23183504715905e-39,"GDF15","9518"
"ENSG00000221869",1963.57429862035,1.48565152382646,0.111974827115334,1.98533657271318e-41,4.30411401077119e-39,"CEBPD","1052"
"ENSG00000169715",554.194641254197,2.20076688795074,0.168781507657001,1.29789248604492e-40,2.78027111832052e-38,"MT1E","4493"
"ENSG00000147027",12593.3295910107,1.15248119070395,0.0877160534581671,1.43633495073847e-40,3.04063660042212e-38,"TMEM47","83604"
"ENSG00000145390",8442.05371962528,2.12298429121351,0.163862584107058,2.20793157992687e-40,4.61971172665163e-38,"USP53","54532"
"ENSG00000185950",1974.88307917017,2.10165024256265,0.162168613529612,3.13538973497084e-40,6.48485090701899e-38,"IRS2","8660"
"ENSG00000013293",244.497326184804,-2.84874060006665,0.220820505742116,9.41315435720915e-40,1.92477613072297e-37,"SLC7A14","57709"
"ENSG00000131831",1017.17597249954,1.41344550972132,0.109196178854995,1.99073782144756e-39,4.02486925383454e-37,"RAI2","10742"
"ENSG00000146122",1942.41443351691,1.66287094876939,0.130074287606433,7.07265973321037e-39,1.41406043599319e-36,"DAAM2","23500"
"ENSG00000137672",655.449436784439,1.93131713149432,0.151396380339868,8.39922516241552e-39,1.66083140189566e-36,"TRPC6","7225"
"ENSG00000020577",3105.00555637675,1.19116315507569,0.0929122740687256,1.03649956094197e-38,2.0272579456076e-36,"SAMD4A","23034"
"ENSG00000119138",1683.2682077277,2.0586983481397,0.162712048832209,1.67669253141176e-38,3.2441296140025e-36,"KLF9","687"
"ENSG00000138735",6850.26951693182,-1.16595916973267,0.0913713586269548,1.93892932069138e-38,3.71160576558731e-36,"PDE5A","8654"
"ENSG00000163110",1314.18432532042,1.58782938885683,0.124888568220135,2.18937628727976e-38,4.14690914876969e-36,"PDLIM5","10611"
"ENSG00000071282",3659.86884296353,1.58706759098682,0.125769711816549,5.99693264064509e-38,1.12405006183091e-35,"LMCD1","29995"
"ENSG00000101825",4767.14944686345,-1.30685217615503,0.103838446275663,1.1457605269882e-37,2.12544483738409e-35,"MXRA5","25878"
"ENSG00000162407",25853.6620173955,-0.991248221680238,0.0785640104800772,1.72343200358467e-37,3.1644321910717e-35,"PLPP3","8613"
"ENSG00000163513",13216.6476019075,1.44052132171446,0.115659951644887,4.80852294323405e-37,8.73985473136903e-35,"TGFBR2","7048"
"ENSG00000246430",2162.53881470905,2.03173297325559,0.163711531475637,5.58980268432207e-37,1.00582909501691e-34,"LINC00968","100507632"
"ENSG00000163431",4934.73010201059,1.14944867385941,0.0921886512441157,7.13867769993035e-37,1.27181551022324e-34,"LMOD1","25802"
"ENSG00000046653",1090.45825722703,2.36607328352993,0.193081399909658,2.01120882835966e-36,3.54800898602978e-34,"GPM6B","2824"
"ENSG00000106617",1018.35298653981,1.59849070285933,0.12968312361453,3.11401773303785e-36,5.44015874643524e-34,"PRKAG2","51422"
"ENSG00000099998",506.244766658562,2.35171929561676,0.192497212467067,4.09744933643655e-36,7.06787400021363e-34,"GGT5","2687"
"ENSG00000137809",1115.80003263854,-1.69985736247805,0.138475503013942,4.12430126721369e-36,7.06787400021363e-34,"ITGA11","22801"
"ENSG00000115457",1919.14850283236,2.18505272720891,0.183503626345109,9.74207215523679e-35,1.65376270152199e-32,"IGFBP2","3485"
"ENSG00000160200",834.066631033772,1.23400024360428,0.102723970784382,5.06469519879538e-34,8.5172079819742e-32,"CBS","875"
"ENSG00000174306",3234.85251306157,1.11765730938266,0.0937400760003817,7.42685461933557e-34,1.23739650018819e-31,"ZHX3","23051"
"ENSG00000128923",1415.67842643882,1.02604293565392,0.086043599528728,8.60508033952528e-34,1.42054876724237e-31,"MINDY2","54629"
"ENSG00000123562",5040.48267766273,1.0152928998493,0.0852689759890143,9.29947172516003e-34,1.52122449293209e-31,"MORF4L2","9643"
"ENSG00000214814",243.276976467197,-3.01792707974454,0.255767307291553,9.76644618645002e-34,1.58322011422506e-31,"FER1L6","654463"
"ENSG00000125868",15848.9769017164,0.910786629284042,0.0761123529384849,1.16956680727612e-33,1.87903438661843e-31,"DSTN","11034"
"ENSG00000162772",373.51179517354,1.89313341543137,0.160366815856954,1.55955478085992e-33,2.48341847139765e-31,"ATF3","467"
"ENSG00000164125",5596.34966690866,1.11149322209778,0.0939886345486829,2.29990582105734e-33,3.63021976702681e-31,"GASK1B","51313"
"ENSG00000119508",216.673741809452,2.04418321984343,0.17410540104986,2.9317881258614e-33,4.58735613363044e-31,"NR4A3","8013"
"ENSG00000173918",992.659399454996,1.237517586436,0.104977726894704,3.32876294113503e-33,5.16360003127446e-31,"C1QTNF1","114897"
"ENSG00000109861",4058.013382052,1.00454866972844,0.0853645822697935,4.20027459894081e-33,6.45980693447359e-31,"CTSC","1075"
"ENSG00000114098",1010.29346134236,1.32970005049065,0.113254375433143,5.23540244269107e-33,7.98354504693077e-31,"ARMC8","25852"
"ENSG00000145777",152.372544224853,-2.74349933919211,0.234978546235554,7.02265855639494e-33,1.06189679045185e-30,"TSLP","85480"
"ENSG00000077684",1570.63461014914,1.18407406969328,0.101395207962976,1.09692025672013e-32,1.64483192495184e-30,"JADE1","79960"
"ENSG00000139289",1975.8673223812,-0.980138598533539,0.0836862534273123,1.12963477298779e-32,1.67988827315226e-30,"PHLDA1","22822"
"ENSG00000114270",1546.90699729354,1.21808279324735,0.104438192585052,1.42725045424519e-32,2.10507743226951e-30,"COL7A1","1294"
"ENSG00000103485",865.205449337359,-1.19614463437311,0.102972933628674,2.62126666894142e-32,3.83472133666113e-30,"QPRT","23475"
"ENSG00000164442",7510.52587168029,1.52425886811975,0.133235657353138,5.56079845084622e-32,8.06943607455862e-30,"CITED2","10370"
"ENSG00000138829",15701.2752863824,1.89235518381939,0.165938622648189,5.89204828369638e-32,8.48172134534661e-30,"FBN2","2201"
"ENSG00000155130",5654.05696431278,-1.17698305623082,0.101943451650793,6.05343812152115e-32,8.64488615544854e-30,NA,NA
"ENSG00000110756",995.251537070175,1.55495251159598,0.135725426725608,9.63806929374837e-32,1.36557022733628e-29,"HPS5","11234"
"ENSG00000144369",1303.27274542406,-1.3296187132914,0.11613848627038,1.4343048436287e-31,2.01631885595741e-29,"FAM171B","165215"
"ENSG00000143320",1492.12556609689,-1.61380465843192,0.141815947494447,1.79650903781813e-31,2.50592121135655e-29,"CRABP2","1382"
"ENSG00000181467",630.874185291974,-1.25532104809449,0.11061231300486,6.0066170240209e-31,8.3140820561717e-29,"RAP2B","5912"
"ENSG00000196507",988.842685681754,1.04206465924984,0.0923881598381645,1.72854604496173e-30,2.37430973534666e-28,"TCEAL3","85012"
"ENSG00000008256",3716.57738197619,1.16728552898852,0.103922798014651,2.00766498996123e-30,2.73681241131534e-28,"CYTH3","9265"
"ENSG00000116584",2250.59694884394,-1.00214936192757,0.0896884007598102,4.97515722244162e-30,6.73105105718907e-28,"ARHGEF2","9181"
"ENSG00000140545",9199.62673062643,1.09898772824381,0.0988158569976996,1.13304894442083e-29,1.52149870939614e-27,"MFGE8","4240"
"ENSG00000154864",153.23479367767,-2.52663708360505,0.232910654733621,6.94725114058916e-29,9.25991385361195e-27,"PIEZO2","63895"
"ENSG00000072958",2129.43443527067,1.0706933167742,0.0982412781686645,1.04096557303464e-28,1.37728930302834e-26,"AP1M1","8907"
"ENSG00000146592",669.401293086846,-2.01289454902406,0.187596182226745,1.11612178705044e-28,1.46594857198435e-26,"CREB5","9586"
"ENSG00000177283",115.085170511591,2.44854752347149,0.226354047533749,1.2899273749168e-28,1.68195312929368e-26,"FZD8","8325"
"ENSG00000205978",1601.04659220405,-1.13868132692687,0.105553539694096,2.66252680482223e-28,3.44672714575332e-26,"NYNRIN","57523"
"ENSG00000136546",4991.26837107808,1.34756935043631,0.125525469623772,3.56873843470129e-28,4.58684852814394e-26,"SCN7A","6332"
"ENSG00000243244",996.175141904114,1.39049166739429,0.129489217602622,3.75674453420993e-28,4.79424547153004e-26,"STON1","11037"
"ENSG00000133216",344.056124155505,-1.74185448653554,0.162636576807447,3.78894960345888e-28,4.80129289891825e-26,"EPHB2","2048"
"ENSG00000096060",2564.36222687268,3.96980673654482,0.382810053652423,7.13222000393205e-28,8.97462704550722e-26,"FKBP5","2289"
"ENSG00000092621",1231.10242762368,-1.40265916296514,0.131964691877633,9.1659308632744e-28,1.14535944412333e-25,"PHGDH","26227"
"ENSG00000187498",2283.83180964209,1.29498464349928,0.121713109480035,1.01757553987582e-27,1.26277615617417e-25,"COL4A1","1282"
"ENSG00000166482",26348.2769204739,-0.953949826778793,0.0892333119117615,1.04464797231522e-27,1.28749285026302e-25,"MFAP4","4239"
"ENSG00000123243",13780.7294600191,-0.941268195184938,0.0884608228555783,1.74622446863243e-27,2.12416683615279e-25,"ITIH5","80760"
"ENSG00000163491",160.225059048447,-2.45354558849675,0.232622705690349,1.74711954957548e-27,2.12416683615279e-25,"NEK10","152110"
"ENSG00000165507",18353.5745925703,1.52928389152775,0.145530650571879,2.70740743799078e-27,3.26960331806753e-25,"DEPP1","11067"
"ENSG00000183160",2987.67071981722,-1.1550390723358,0.109332400672643,2.90996784851371e-27,3.49079743107705e-25,"TMEM119","338773"
"ENSG00000233117",77.6318352361788,3.33098155889061,0.317132661269561,4.4859959266259e-27,5.3457622982587e-25,NA,NA
"ENSG00000127083",304.476810780945,1.78299626120322,0.17022434197781,5.08283813817787e-27,6.01714404331399e-25,"OMD","4958"
"ENSG00000177666",1701.23387978068,1.08406976906576,0.103120093377304,6.57403917994354e-27,7.73158568652968e-25,"PNPLA2","57104"
"ENSG00000069431",849.101371746355,1.0413570331096,0.0992300480630025,8.92551441994678e-27,1.04289419787352e-24,"ABCC9","10060"
"ENSG00000131386",11496.4862074381,1.58858905584079,0.153367379058491,1.04479342051238e-26,1.21290405217418e-24,"GALNT15","117248"
"ENSG00000102466",664.683572935525,1.19800661114933,0.11465346931879,1.09391100020754e-26,1.26178426523939e-24,"FGF14","2259"
"ENSG00000162496",3691.99970068906,1.07120543402253,0.102436366553888,1.14403126866913e-26,1.31119099671543e-24,"DHRS3","9249"
"ENSG00000180914",568.703497425714,1.84373431251916,0.178090151346966,1.71894824377403e-26,1.9576427024348e-24,"OXTR","5021"
"ENSG00000177674",751.373295308449,1.09729102972203,0.105398377784009,1.85325803007392e-26,2.09732861592139e-24,"AGTRAP","57085"
"ENSG00000099204",848.585060946676,1.40366530472295,0.136142678518814,3.16076738642182e-26,3.55467802195464e-24,"ABLIM1","3983"
"ENSG00000197043",14120.9989647215,0.912059119884262,0.087625121580354,3.75207780175712e-26,4.19347130216258e-24,"ANXA6","309"
"ENSG00000127954",286.384119280247,5.1128079854206,0.5082735724836,4.54630170772903e-26,5.04976252647384e-24,"STEAP4","79689"
"ENSG00000148120",743.999875010981,1.0869135847062,0.105575629918364,6.66613740291476e-26,7.35892493423609e-24,"AOPEP","84909"
"ENSG00000169738",627.449246972015,2.0606084628872,0.203858429397454,7.37368662173171e-26,8.09037299216101e-24,"DCXR","51181"
"ENSG00000126878",93.2605268616648,-2.61978398688525,0.25590363564618,7.99635160711914e-26,8.72038489809102e-24,"AIF1L","83543"
"ENSG00000112773",516.800784800124,-1.17881586868264,0.114839024791391,8.2589425740586e-26,8.95249473961509e-24,"TENT5A","55603"
"ENSG00000091527",4870.59143202752,0.755236083160382,0.0733488670334417,1.12955149391305e-25,1.21707482523781e-23,"CDV3","55573"
"ENSG00000035664",633.042902717231,1.65430113229875,0.163465945233396,1.49393354178467e-25,1.60010953279008e-23,"DAPK2","23604"
"ENSG00000023909",1927.71101011188,1.20174222699849,0.118080039819968,1.63680477657272e-25,1.74276125145855e-23,"GCLM","2730"
"ENSG00000125848",178.654450436053,-2.43565213410637,0.24290675409213,1.87124225374121e-25,1.9806548890482e-23,"FLRT3","23767"
"ENSG00000131446",5362.00674215496,0.853247165779256,0.083666090734767,2.55919252682647e-25,2.69298890805354e-23,"MGAT1","4245"
"ENSG00000138073",1697.49198137076,1.08397462496596,0.106779173570247,2.72762266169651e-25,2.85353733573064e-23,"PREB","10113"
